food_name,meal,campus,serving_size,calories,calories_from_fat,total_fat_g,total_fat_dv,saturated_fat_g,saturated_fat_dv,trans_fat_g,cholesterol_mg,sodium_mg,sodium_dv,total_carb_g,total_carb_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,added_sugars_g,protein_g,protein_dv,vitamin_d_mcg,calcium_mg,iron_mg,potassium_mg,ingredients,extraction_timestamp,url
File not found: /menus/user-pages/nutrition-detail.cfm,Breakfast,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-09-08T12:32:52.797350,https://www.absecom.psu.edu/menus/user-pages/nutrition-detail.cfm?food_id=12345
File not found: /menus/user-pages/nutrition-detail.cfm,Lunch,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-09-08T12:32:52.960587,https://www.absecom.psu.edu/menus/user-pages/nutrition-detail.cfm?food_id=12346
File not found: /menus/user-pages/nutrition-detail.cfm,Dinner,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-09-08T12:32:53.096754,https://www.absecom.psu.edu/menus/user-pages/nutrition-detail.cfm?food_id=12347
