food_name,meal,campus,serving_size,calories,calories_from_fat,total_fat_g,total_fat_dv,saturated_fat_g,saturated_fat_dv,trans_fat_g,cholesterol_mg,sodium_mg,sodium_dv,total_carb_g,total_carb_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,added_sugars_g,protein_g,protein_dv,vitamin_d_mcg,calcium_mg,iron_mg,potassium_mg,ingredients,extraction_timestamp,url
"Lunch for Monday, September 8, 2025Nutrition ▸",Breakfast,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ing items,2025-09-08T20:38:41.568236,https://www.absecom.psu.edu/menus/user-pages/daily-menu.cfm
"Lunch for Monday, September 8, 2025Nutrition ▸",Lunch,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ing items,2025-09-08T20:38:41.861788,https://www.absecom.psu.edu/menus/user-pages/daily-menu.cfm
"Lunch for Monday, September 8, 2025Nutrition ▸",Dinner,altoona-port-sky,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ing items,2025-09-08T20:38:42.155079,https://www.absecom.psu.edu/menus/user-pages/daily-menu.cfm
