food_name,meal,campus,serving_size,calories,calories_from_fat,total_fat_g,total_fat_dv,saturated_fat_g,saturated_fat_dv,trans_fat_g,cholesterol_mg,sodium_mg,sodium_dv,total_carb_g,total_carb_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,added_sugars_g,protein_g,protein_dv,vitamin_d_mcg,calcium_mg,iron_mg,potassium_mg,ingredients,extraction_timestamp,url
Belgian Waffle,Breakfast,altoona-port-sky,"1 SERVG
Calories: 558
Calories from Fat: 141
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",558,141,15.7,0.0,8.7,0.0,0.5,44.4,1351.1,0.0,94.0,0.0,1.4,0.0,0.0,21.7,7.1,0.0,146.1,0.0,1.5,0.0,"Belgian Waffle (Water, Waffle Mix (Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Monocitrate, Riboflavin, Folic Acid), Sugar, Soybean Oil, Sodium Bicarbonate, Monocalcium Phosphate, Natural and Artifical Flavors(Dextrose, Maltodextrin, Starch, Silicon Dioxide), Salt, Yellow Corn Flour, Buttermilk Solids, Malted Barley Extract.)), Maple Flavored Syrup (Syrup (corn syrup, water, high fructose corn syrup, salt, sugar, caramel color, natural and artificial flavor)), Butter PC (Butter (butter, salt))",2025-09-08T12:33:12.959769,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113788970
Blueberry Bagels,Breakfast,altoona-port-sky,"1 SERVG
Calories: 280
Calories from Fat: 9
                * Percent Daily Values (DV) are based on a 2,000 calorie diet.",280,9,1.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,58.0,0.0,2.0,0.0,0.0,8.0,9.0,0.0,60.0,0.0,3.6,0.0,"Blueberry Bagels (Blueberry Bagel (Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, fresh blueberries, brown sugar, salt, molasses, baker’s dry active yeast, wheat starch, dextrose, vinegar, citric acid, natural dried blueberries, corn protein, blueberry bits, degerminated yellow corn meal, dough improver blend (wheat flour, salt, sodium stearoyl lactylate, soybean oil, xylanase, amylase, ascorbic acid, l-cysteine), natural and artificial blueberry flavor, mono-and diglycerides, calcium propionate. ))",2025-09-08T12:33:13.147239,https://www.absecom.psu.edu/menus/user-pages/nutrition-label.cfm?mid=113789061
